rule,path,bp,period,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,delayed,missing_windows,unfinished,unknown_signal
S1_clv_ge_0p8__AND__S1_r3_le_m4,open,5,discovery,10,3,30.0,-227.6415662499808,-22.76415662499808,-264.9490621999987,-694.4131441999889,466.7715779500082,-599.9876047999962,-0.2217061703765774,0,0,0,2
S1_clv_ge_0p8__AND__S1_r3_le_m4,open,5,later,16,12,75.0,8245.991540292063,515.374471268254,-720.0980170739907,-720.0980170739904,5693.157561789025,-1074.9618709239858,0.9876686338449115,0,0,0,1
S1_clv_ge_0p8__AND__S1_r3_le_m4,open,5,main,26,15,57.692307692307686,8018.349974042084,308.39807592469555,-720.0980170739907,-720.0980170739904,5693.157561789025,-1232.6283463739885,0.5225244783751082,0,0,0,3
S1_clv_ge_0p8__AND__S1_r3_le_m4,gap_low_target0.5,5,discovery,10,7,70.0,172.56643775001987,17.256643775001987,-267.5916672999973,-318.62022079998945,482.4298087000079,-529.9512040999945,0.0411841352593788,0,0,0,2
S1_clv_ge_0p8__AND__S1_r3_le_m4,gap_low_target0.5,5,later,16,14,87.5,10597.45421405706,662.3408883785662,-472.194842150001,-554.965854849997,5693.157561789025,-483.6026342999942,1.3292349775691086,0,0,0,1
S1_clv_ge_0p8__AND__S1_r3_le_m4,gap_low_target0.5,5,main,26,21,80.76923076923077,10770.02065180708,414.2315635310416,-472.194842150001,-554.965854849997,5693.157561789025,-874.6679703499983,0.833830807449982,0,0,0,3
S1_clv_ge_0p8__AND__S1_vr_le_0p8,open,5,discovery,63,21,33.33333333333333,-934.3878218999072,-14.831552728569951,-264.9490621999987,-1179.222456349916,627.8985402000066,-534.8052140999973,-0.1290332704719944,0,0,0,2
S1_clv_ge_0p8__AND__S1_vr_le_0p8,open,5,later,28,13,46.42857142857143,1720.2918529901522,61.438994749648295,-1633.135730957996,-3675.19078179296,3448.4789667600285,-3329.7163296929834,-0.0485961698869329,0,0,0,1
S1_clv_ge_0p8__AND__S1_vr_le_0p8,open,5,main,91,34,37.362637362637365,785.9040310902446,8.636308033958732,-1633.135730957996,-3917.137628842855,3448.4789667600285,-3329.7163296929834,-0.1042833933688986,0,0,0,3
S1_clv_ge_0p8__AND__S1_vr_le_0p8,fixed_1000,5,discovery,63,26,41.26984126984127,-1544.7048278999002,-24.51912425237937,-489.3784594999976,-1936.6661218499191,946.3116579500032,-1007.231883799992,-0.2063546416926682,0,0,0,2
