date,open,close,open_cross,close_cross,open_gap,close_gap
2018-06-08,16.52,19.83,16.52,19.83,0.0,0.0
2018-06-11,21.81,21.81,21.81,21.81,0.0,0.0
2018-06-12,23.99,23.99,23.99,23.99,0.0,0.0
2018-06-13,24.55,25.72,24.55,25.72,0.0,0.0
2018-06-14,24.51,23.29,24.51,23.29,0.0,0.0
2018-06-15,22.6,22.58,22.6,22.58,0.0,0.0
2018-06-19,21.83,20.32,21.83,20.32,0.0,0.0
2018-06-20,19.8,19.86,19.8,19.86,0.0,0.0
2018-06-21,19.6,18.17,19.6,18.17,0.0,0.0
2018-06-22,17.7,18.72,17.7,18.72,0.0,0.0
2018-06-25,18.62,18.21,18.62,18.21,0.0,0.0
2018-06-26,17.74,18.53,17.74,18.53,0.0,0.0
2018-06-27,18.5,18.27,18.5,18.27,0.0,0.0
2018-06-28,18.22,17.89,18.22,17.89,0.0,0.0
2018-06-29,17.95,18.44,17.95,18.44,0.0,0.0
2018-07-02,18.2,17.59,18.2,17.59,0.0,0.0
2018-07-03,17.54,17.9,17.54,17.9,0.0,0.0
2018-07-04,17.7,17.17,17.7,17.17,0.0,0.0
2018-07-05,17.0,16.96,17.0,16.96,0.0,0.0
2018-07-06,16.91,17.23,16.91,17.23,0.0,0.0
2018-07-09,17.23,17.47,17.23,17.47,0.0,0.0
2018-07-10,17.51,17.35,17.51,17.35,0.0,0.0
2018-07-11,16.95,16.65,16.95,16.65,0.0,0.0
2018-07-12,16.65,17.96,16.65,17.96,0.0,0.0
2018-07-13,17.7,17.62,17.7,17.62,0.0,0.0
2018-07-16,17.62,17.84,17.62,17.84,0.0,0.0
2018-07-17,17.84,17.69,17.84,17.69,0.0,0.0
2018-07-18,17.69,17.21,17.69,17.21,0.0,0.0
2018-07-19,17.18,16.93,17.18,16.93,0.0,0.0
2018-07-20,16.91,17.3,16.91,17.3,0.0,0.0
2018-07-23,17.11,17.25,17.11,17.25,0.0,0.0
2018-07-24,17.23,18.06,17.23,18.06,0.0,0.0
2018-07-25,18.0,17.71,18.0,17.71,0.0,0.0
2018-07-26,17.66,17.76,17.66,17.76,0.0,0.0
2018-07-27,17.68,17.29,17.68,17.29,0.0,0.0
2018-07-30,17.2,17.14,17.2,17.14,0.0,0.0
2018-07-31,17.19,17.17,17.19,17.17,0.0,0.0
2018-08-01,17.25,16.98,17.25,16.98,0.0,0.0
2018-08-02,16.9,16.24,16.9,16.24,0.0,0.0
2018-08-03,16.27,15.81,16.27,15.81,0.0,0.0
2018-08-06,15.77,15.14,15.77,15.14,0.0,0.0
2018-08-07,15.2,15.55,15.2,15.55,0.0,0.0
2018-08-08,15.41,15.01,15.41,15.01,0.0,0.0
2018-08-09,14.99,15.42,14.99,15.42,0.0,0.0
2018-08-10,15.32,15.47,15.32,15.47,0.0,0.0
2018-08-13,15.19,15.72,15.19,15.72,0.0,0.0
2018-08-14,15.73,15.51,15.73,15.51,0.0,0.0
2018-08-15,15.39,15.06,15.39,15.06,0.0,0.0
2018-08-16,14.85,14.89,14.85,14.89,0.0,0.0
2018-08-17,15.09,14.63,15.09,14.63,0.0,0.0
2018-08-20,14.65,14.92,14.65,14.92,0.0,0.0
2018-08-21,14.9,15.02,14.9,15.02,0.0,0.0
2018-08-22,14.99,14.74,14.99,14.74,0.0,0.0
2018-08-23,14.77,15.13,14.77,15.13,0.0,0.0
2018-08-24,15.04,14.99,15.04,14.99,0.0,0.0
2018-08-27,15.0,15.31,15.0,15.31,0.0,0.0
2018-08-28,15.31,15.32,15.31,15.32,0.0,0.0
2018-08-29,15.35,15.11,15.35,15.11,0.0,0.0
2018-08-30,15.13,14.8,15.13,14.8,0.0,0.0
2018-08-31,14.75,14.79,14.75,14.79,0.0,0.0
2018-09-03,14.71,14.7,14.71,14.7,0.0,0.0
2018-09-04,14.69,14.93,14.69,14.93,0.0,0.0
2018-09-05,14.86,14.63,14.86,14.63,0.0,0.0
2018-09-06,14.61,15.03,14.61,15.03,0.0,0.0
2018-09-07,15.0,14.89,15.0,14.89,0.0,0.0
2018-09-10,14.8,14.63,14.8,14.63,0.0,0.0
2018-09-11,14.63,14.69,14.63,14.69,0.0,0.0
2018-09-12,14.68,14.72,14.68,14.72,0.0,0.0
2018-09-13,14.87,14.79,14.87,14.79,0.0,0.0
2018-09-14,14.79,14.6,14.79,14.6,0.0,0.0
2018-09-17,14.56,14.17,14.56,14.17,0.0,0.0
2018-09-18,14.06,14.31,14.06,14.31,0.0,0.0
2018-09-19,14.24,14.42,14.24,14.42,0.0,0.0
2018-09-20,14.37,14.27,14.37,14.27,0.0,0.0
2018-09-21,14.3,14.45,14.3,14.45,0.0,0.0
2018-09-25,14.35,14.43,14.35,14.43,0.0,0.0
2018-09-26,14.6,14.55,14.6,14.55,0.0,0.0
2018-09-27,14.49,14.2,14.49,14.2,0.0,0.0
2018-09-28,14.21,14.24,14.21,14.24,0.0,0.0
2018-10-08,14.0,13.72,14.0,13.72,0.0,0.0
2018-10-09,13.76,13.73,13.76,13.73,0.0,0.0
2018-10-10,13.79,13.71,13.79,13.71,0.0,0.0
2018-10-11,13.01,12.34,13.01,12.34,0.0,0.0
2018-10-12,12.07,11.96,12.07,11.96,0.0,0.0
2018-10-15,12.0,11.89,12.0,11.89,0.0,0.0
2018-10-16,11.9,11.57,11.9,11.57,0.0,0.0
2018-10-17,11.77,11.76,11.77,11.76,0.0,0.0
2018-10-18,11.63,11.38,11.63,11.38,0.0,0.0
2018-10-19,11.17,11.61,11.17,11.61,0.0,0.0
2018-10-22,11.7,12.65,11.7,12.65,0.0,0.0
2018-10-23,12.55,12.19,12.55,12.19,0.0,0.0
2018-10-24,12.18,12.19,12.18,12.19,0.0,0.0
2018-10-25,11.75,12.0,11.75,12.0,0.0,0.0
2018-10-26,12.1,12.09,12.1,12.09,0.0,0.0
2018-10-29,12.13,12.07,12.13,12.07,0.0,0.0
2018-10-30,12.0,12.1,12.0,12.1,0.0,0.0
2018-10-31,12.25,12.25,12.25,12.25,0.0,0.0
2018-11-01,12.48,12.35,12.48,12.35,0.0,0.0
2018-11-02,12.65,12.61,12.65,12.61,0.0,0.0
2018-11-05,12.62,12.6,12.62,12.6,0.0,0.0
2018-11-06,12.5,12.79,12.5,12.79,0.0,0.0
2018-11-07,12.72,12.53,12.72,12.53,0.0,0.0
2018-11-08,12.67,12.39,12.67,12.39,0.0,0.0
2018-11-09,12.35,12.34,12.35,12.34,0.0,0.0
2018-11-12,12.33,12.59,12.33,12.59,0.0,0.0
2018-11-13,12.37,12.67,12.37,12.67,0.0,0.0
2018-11-14,12.67,12.58,12.67,12.58,0.0,0.0
2018-11-15,12.56,12.89,12.56,12.89,0.0,0.0
2018-11-16,12.91,12.86,12.91,12.86,0.0,0.0
2018-11-19,12.89,13.02,12.89,13.02,0.0,0.0
2018-11-20,12.9,12.62,12.9,12.62,0.0,0.0
