window,bp,year,old_sales,old_partial_buy_orders,corrected1000_sales,corrected_all_sales
open,5,2020,51,0,51,59
open,5,2021,46,0,46,54
open,5,2022,42,0,42,52
open,5,2023,29,0,29,34
open,5,2024,37,0,37,42
open,5,2025,46,0,46,57
open,5,2026,35,0,35,42
open,10,2020,51,0,51,59
open,10,2021,46,0,46,54
open,10,2022,42,0,42,52
open,10,2023,29,0,29,34
open,10,2024,37,0,37,42
open,10,2025,46,0,46,57
open,10,2026,35,0,35,42
open,11,2020,51,0,51,59
open,11,2021,46,0,46,54
open,11,2022,42,0,42,52
open,11,2023,29,0,29,34
open,11,2024,2,1,37,42
open,11,2025,2,2,46,57
open,11,2026,0,0,35,42
open,12,2020,51,0,51,59
open,12,2021,46,0,46,54
open,12,2022,42,0,42,52
open,12,2023,29,4,29,34
open,12,2024,2,1,37,42
open,12,2025,0,0,46,57
open,12,2026,0,0,35,42
post0935,5,2020,51,0,51,59
post0935,5,2021,46,0,46,54
post0935,5,2022,42,0,42,52
post0935,5,2023,29,0,29,34
post0935,5,2024,37,0,37,42
post0935,5,2025,46,0,46,57
post0935,5,2026,35,0,35,42
post0935,10,2020,51,0,51,59
post0935,10,2021,46,0,46,54
post0935,10,2022,42,0,42,52
post0935,10,2023,29,0,29,34
post0935,10,2024,37,0,37,42
post0935,10,2025,46,0,46,57
post0935,10,2026,35,0,35,42
post0935,11,2020,51,0,51,59
post0935,11,2021,46,0,46,54
post0935,11,2022,42,0,42,52
post0935,11,2023,14,5,29,34
post0935,11,2024,2,2,37,42
post0935,11,2025,2,2,46,57
post0935,11,2026,0,0,35,42
post0935,12,2020,51,0,51,59
post0935,12,2021,46,0,46,54
post0935,12,2022,42,0,42,52
post0935,12,2023,13,8,29,34
post0935,12,2024,2,1,37,42
post0935,12,2025,2,2,46,57
post0935,12,2026,0,0,35,42
